#Date,TotalDistance
2026/04/17 09:30:34,5134.5
#Screen_X,Screen_Y,GazeDataCount
448,252,1315
#GameTime,Gaze_X,Gaze_Y
39.00,205,260
39.02,205,260
39.04,204,261
39.06,203,261
39.08,202,261
39.10,202,261
39.12,201,262
39.14,201,262
39.16,201,262
39.18,200,262
39.20,200,262
39.22,199,263
39.24,198,263
39.26,197,263
39.28,196,263
39.30,195,263
39.32,194,264
39.34,194,264
39.36,194,264
39.38,194,264
39.40,194,264
39.42,194,264
39.44,194,264
39.46,194,264
39.48,194,264
39.50,194,264
39.52,194,264
39.54,194,264
39.56,194,264
39.58,194,264
39.60,194,264
39.62,194,264
39.64,194,264
39.66,194,264
39.68,194,264
39.70,191,264
39.72,183,264
39.74,178,265
39.76,170,266
39.78,166,266
39.80,163,266
39.82,162,267
39.84,162,267
39.86,161,267
39.88,161,267
39.90,160,268
39.92,160,268
39.94,160,268
39.96,160,268
39.98,160,268
40.00,160,268
40.02,160,268
40.04,160,268
40.06,160,268
40.08,160,268
40.10,160,268
40.12,160,268
40.14,160,268
40.16,160,268
40.18,160,268
40.20,160,268
40.22,160,268
40.24,160,268
40.26,160,268
40.28,160,268
40.30,160,268
40.32,160,267
40.34,160,263
40.36,160,258
40.38,160,255
40.40,160,250
40.42,160,247
40.44,160,244
40.46,160,242
40.48,160,240
40.50,160,239
40.52,159,238
40.54,159,236
40.56,158,233
40.58,158,231
40.60,157,224
40.62,156,219
40.64,154,207
40.66,151,189
40.68,145,143
40.70,140,101
40.72,132,42
40.74,126,2
41.78,247,1
41.80,252,3
41.82,258,5
41.84,259,6
41.86,259,6
41.88,259,7
41.90,257,7
41.92,256,7
41.94,255,7
41.96,255,7
41.98,253,7
42.00,253,7
42.02,251,7
42.04,250,7
42.06,248,7
42.08,247,7
42.10,244,8
42.12,242,9
42.14,239,9
42.16,237,10
42.18,235,10
42.20,234,10
42.22,234,10
42.24,234,10
42.26,234,10
42.28,234,10
42.30,234,11
42.32,234,11
42.34,234,11
42.36,234,11
42.38,233,11
42.40,232,11
42.42,229,11
42.44,226,11
42.46,220,11
42.48,217,11
42.50,211,11
42.52,209,11
42.54,207,11
42.56,207,11
42.58,206,11
42.60,206,11
42.62,207,12
42.64,210,12
42.66,218,12
42.68,226,12
42.70,240,12
42.72,249,12
42.74,260,12
42.76,266,12
42.78,272,12
42.80,274,12
42.82,276,11
42.84,278,11
42.86,280,11
42.88,281,10
42.90,283,10
42.92,284,9
42.94,286,9
42.96,287,9
42.98,288,9
43.00,289,8
43.02,291,8
43.04,294,8
43.06,296,8
43.08,297,8
43.10,298,8
43.12,298,8
43.14,298,8
43.16,298,8
43.18,298,8
43.20,298,8
43.22,298,8
43.24,298,8
43.26,298,8
43.28,298,8
43.30,298,8
43.32,298,8
43.34,298,8
43.36,298,8
43.38,298,8
43.40,298,8
43.42,298,8
43.44,298,8
43.46,298,8
43.48,298,8
43.50,298,8
44.82,1,79
44.84,1,79
44.86,1,79
44.88,1,79
44.90,1,79
44.92,1,79
44.94,1,79
44.96,1,79
44.98,1,79
45.00,1,79
45.02,1,79
45.04,1,79
45.06,10,72
45.08,23,65
45.10,53,54
45.12,68,52
45.14,92,52
45.16,106,58
45.18,118,67
45.20,124,71
45.22,130,76
45.24,133,77
45.26,136,77
45.28,137,78
45.30,138,78
45.32,138,78
45.34,139,74
45.36,142,69
45.38,149,58
45.40,157,51
45.42,173,42
45.44,184,38
45.46,198,32
45.48,205,29
45.50,212,26
45.52,215,24
45.54,216,22
45.56,216,20
45.58,215,18
45.60,214,17
45.62,212,15
45.64,211,14
45.66,208,13
45.68,206,12
45.70,204,12
45.72,203,12
45.74,202,12
45.76,202,12
45.78,202,12
45.80,202,12
45.82,202,12
45.84,202,12
45.86,202,12
45.88,202,12
45.90,202,12
45.92,202,12
45.94,202,12
45.96,202,12
45.98,202,12
46.00,202,12
46.02,202,12
46.04,202,12
46.06,202,12
46.08,202,12
46.10,202,12
46.12,202,12
46.14,202,12
46.16,202,13
46.18,201,18
46.20,199,26
46.22,194,38
46.24,170,86
46.26,116,188
46.28,77,267
49.96,49,51
49.98,82,43
50.00,120,32
50.02,151,21
50.04,162,17
50.06,175,11
50.08,178,10
50.10,179,9
50.12,180,9
50.14,181,7
50.16,181,5
50.18,182,0
51.40,84,108
53.86,36,262
53.88,81,235
53.90,134,205
53.92,151,196
53.94,167,186
53.96,170,184
53.98,171,183
54.00,171,182
54.02,168,179
54.04,166,178
54.06,165,176
54.08,165,176
54.10,166,176
54.12,169,178
54.14,173,180
54.16,174,180
54.18,171,181
54.20,159,184
54.22,130,192
54.24,104,200
54.26,78,205
54.28,68,206
54.30,60,207
54.32,58,208
54.34,57,208
54.36,57,208
54.38,57,208
54.40,57,208
54.42,57,208
54.44,57,208
54.46,56,208
54.48,56,208
54.50,55,208
54.52,53,208
54.54,48,208
54.56,45,208
54.58,41,208
54.60,40,208
54.62,39,208
54.64,39,209
54.66,39,209
54.68,39,209
54.70,39,209
54.72,39,209
54.74,39,209
54.76,39,210
54.78,38,211
54.80,38,212
54.82,38,213
54.84,38,213
54.86,38,213
54.88,38,213
54.90,38,213
54.92,38,213
54.94,38,213
54.96,38,213
54.98,38,213
55.00,38,213
55.02,38,213
55.04,38,213
55.06,38,213
55.08,38,213
55.10,38,213
55.12,38,213
55.14,38,213
55.16,38,213
55.18,38,213
55.20,38,213
55.22,38,213
55.24,38,213
55.26,38,213
55.28,38,213
55.30,38,213
55.32,38,213
55.34,38,213
55.36,38,213
55.38,38,213
55.40,38,213
55.42,38,213
55.44,38,213
55.46,38,213
55.48,38,213
55.50,38,213
55.52,38,213
55.54,38,213
55.56,38,213
55.58,38,213
55.60,38,213
55.62,38,213
55.64,38,213
55.66,38,213
55.68,38,213
55.70,38,213
55.72,38,213
55.74,38,213
55.76,38,213
55.78,38,213
55.80,38,213
55.82,39,213
55.84,40,213
55.86,42,211
55.88,44,205
55.90,45,199
55.92,45,187
55.94,45,179
55.96,45,171
55.98,43,167
56.00,40,162
56.02,38,159
56.04,36,156
56.06,35,155
56.08,34,153
56.10,34,153
56.12,34,152
56.14,34,151
56.16,34,150
56.18,34,148
56.20,33,146
56.22,33,145
56.24,33,145
56.26,32,144
56.28,32,144
56.30,32,144
56.32,32,144
56.34,32,144
56.36,31,144
56.38,30,144
56.40,29,145
56.42,28,145
56.44,26,147
56.46,24,148
56.48,23,149
56.50,22,150
56.52,22,150
56.54,22,150
56.56,22,150
56.58,22,150
56.60,22,150
56.62,22,150
56.64,22,150
56.66,22,150
56.68,22,150
56.70,22,150
56.72,22,150
56.74,22,150
56.76,22,151
56.78,22,151
56.80,22,152
56.82,22,153
56.84,22,154
56.86,22,154
56.88,22,154
56.90,22,154
56.92,22,154
56.94,22,154
56.96,22,155
56.98,22,155
57.00,22,156
57.02,22,156
57.04,22,157
57.06,22,157
57.08,22,157
57.10,22,157
57.12,22,158
57.14,22,158
57.16,22,158
57.18,22,158
57.20,21,158
57.22,21,158
57.24,21,158
57.26,21,158
57.28,21,158
57.30,21,158
57.32,21,158
57.34,21,158
57.36,21,158
57.38,21,158
57.40,21,158
57.42,21,158
57.44,21,158
57.46,21,158
57.48,21,158
57.50,21,158
57.52,21,158
57.54,21,158
57.56,21,158
57.58,21,158
57.60,21,158
57.62,21,158
57.64,21,158
57.66,21,158
57.68,21,158
57.70,21,158
57.72,21,158
57.74,21,158
57.76,21,158
57.78,21,158
57.80,21,158
57.82,21,158
57.84,21,158
57.86,21,158
57.88,21,158
57.90,21,158
57.92,21,158
57.94,21,158
57.96,21,159
57.98,21,160
58.00,21,161
58.02,21,162
58.04,21,163
58.06,21,163
58.08,21,163
58.10,21,163
